,mean,amin,amax,median,std,var
1,-48.3484992980957,-48.625,-48.18499755859375,-48.3125,0.14684958957039204,0.021564801956992598
2,-47.9744987487793,-48.16124725341797,-47.6662483215332,-48.0,0.16502371087426596,0.027232825150713326
3,-48.2547492980957,-48.633750915527344,-47.84749984741211,-48.238746643066406,0.25561889465465815,0.06534101930446923
4,-47.978999328613284,-48.246246337890625,-47.66625213623047,-47.94499969482422,0.21163653220364195,0.04479002176318318
5,-47.94124984741211,-48.303749084472656,-47.181251525878906,-48.158748626708984,0.4064816956863204,0.16522736892802642
6,-47.665748596191406,-48.11750030517578,-47.183746337890625,-47.76374816894531,0.39896676931689445,0.1591744830191601
7,-47.026249694824216,-47.438751220703125,-46.623748779296875,-47.105003356933594,0.3305464890916083,0.10926098145078869
8,-46.16700057983398,-46.79125213623047,-45.74749755859375,-45.98875045776367,0.40469991062152166,0.16378201765706762
9,-44.86650009155274,-45.98750305175781,-44.20249938964844,-44.65625,0.6003164930545307,0.36037989183329044
10,-43.466250610351565,-43.98625183105469,-42.57624816894531,-43.57749938964844,0.520766892167468,0.2711981559777632
11,-42.10199966430664,-42.73875045776367,-41.64125061035156,-42.14250183105469,0.4152759983473854,0.1724541548034176
12,-41.06775054931641,-42.11124801635742,-39.376251220703125,-41.16625213623047,0.9748854538069349,0.9504016480443533
13,-39.856249237060545,-40.744998931884766,-38.09124755859375,-40.147499084472656,0.9228053145249182,0.8515696485154332
14,-38.44275054931641,-39.51499938964844,-36.67375183105469,-38.688751220703125,1.005018625085518,1.010062436768785
15,-36.83850021362305,-38.400001525878906,-34.02124786376953,-37.41625213623047,1.5178499538926695,2.3038684825319793
16,-35.16525039672852,-36.85499954223633,-32.34375,-35.57250213623047,1.5461218736153162,2.3904928480717356
17,-34.05725021362305,-36.938751220703125,-31.498748779296875,-33.94874954223633,1.787470805690537,3.1950518811959774
18,-32.98525047302246,-35.099998474121094,-30.256250381469727,-33.20625305175781,1.6043547366574071,2.573954121035058
19,-32.22775001525879,-33.20500183105469,-31.493749618530273,-32.11375045776367,0.5583920603440857,0.311801693055313
20,-30.945999526977538,-32.70874786376953,-29.498748779296875,-31.068750381469727,1.1296496159564122,1.2761082548304696
